CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2021-01-01;1;2021-01-31;5286;;;;;;;;;;;;;;;;554186998.29;551354606.85;2800149;196.901881596301;0.00013;0;0.003795;0.003795;0;0
00.332.266/0001-31;2021-02-01;1;2021-02-28;5273;;;;;;;;;;;;;;;;555018984.73;549474596.2;2800149;196.230484949194;0.00013;0;0.0037;-0.00341;0.00711;0
00.332.266/0001-31;2021-03-01;1;2021-03-31;5267;5227;25;;;;;;2;;;;8;5;;;551994099.38;550322759.82;2800149;196.533384409187;0.000136;0;0.001544;0.001544;0;0
00.332.266/0001-31;2021-04-01;1;2021-04-30;5310;;;;;;;;;;;;;;;;551033053.51;549532448.22;2800149;196.251145285483;0.00013;0;-0.001436;-0.001436;0;0
00.332.266/0001-31;2021-05-01;2;2021-05-31;5282;;;;;;;;;;;;;;;;552413000.01;549695095.06;2800149;196.309230351671;0.00013;0;0.002487;0.000296;0.002191;0
00.332.266/0001-31;2021-06-01;1;2021-06-30;5259;5221;23;;;;;;2;;;;8;5;;;551126088.28;548434490.15;2800149;195.859038269035;0.00013;0;-0.000103;-0.002293;0.00219;0
00.332.266/0001-31;2021-07-01;1;2021-07-31;5008;;;;;;;;;;;;;;;;551255370.74;549648571.03;2800149;196.292615510817;0.000173;0;0.002214;0.002214;0;0
00.332.266/0001-31;2021-08-01;1;2021-08-31;4867;;;;;;;;;;;;;;;;567598158.88;548370997.83;2800149;195.836363647077;0.000173;0;0.001344;-0.002324;0.003668;0
00.613.094/0001-74;2021-01-01;1;2021-01-31;463;447;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1071110.78;-4598172.52;758400;-6.06299119198312;0;0;-0.0164;-0.0164;0;0
00.613.094/0001-74;2021-02-01;1;2021-02-28;458;442;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1090502.07;-4939249.04;758400;-6.51272289029536;0;0;-0.0742;-0.0742;0;0
00.613.094/0001-74;2021-03-01;1;2021-03-31;445;429;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1113174.91;-5351458.84;758400;-7.05624847046413;0;0;-0.0835;-0.0835;0;0
00.613.094/0001-74;2021-04-01;1;2021-04-30;448;432;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1135389.42;-5574880.44;758400;-7.35084446202532;0;0;-0.0417;-0.0417;0;0
00.613.094/0001-74;2021-05-01;1;2021-05-31;439;423;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1182863.93;-5941591.36;758400;-7.83437679324895;0;0;-0.0658;-0.0658;0;0
00.613.094/0001-74;2021-06-01;1;2021-06-30;447;431;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1187758.33;-6281734.3;758400;-8.28287750527426;0;0;-0.0572;-0.0572;0;0
00.613.094/0001-74;2021-07-01;1;2021-07-31;444;428;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1196754.1;-6663398.74;758400;-8.78612703059072;0;0;-0.0608;-0.0608;0;0
00.613.094/0001-74;2021-08-01;1;2021-08-31;444;428;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1117883.85;-6986891.31;758400;-9.21267314082279;0;0;-0.0485;-0.0485;0;0
00.613.094/0001-74;2021-09-01;1;2021-09-30;441;425;9;0;2;0;0;0;5;0;0;0;0;0;0;0;1114615.61;-7370513.66;758400;-9.71850429852321;0;0;-0.0549;-0.0549;0;0
00.762.723/0001-28;2021-01-01;1;2021-01-31;4800;;;;;;;;;;;;;;;;125779005.57;125721310.44;2594279;48.4609829706057;0.000291;0;0.001014;0.001014;0;0
00.762.723/0001-28;2021-02-01;1;2021-02-28;4666;;;;;;;;;;;;;;;;125678236.3;125470164.41;2594279;48.3641753296388;0.000292;0;-0.001998;-0.001998;0;0
00.762.723/0001-28;2021-03-01;1;2021-03-31;4531;4517;9;;;1;;;3;;;;1;;;;125643453.28;125469665.32;2594279;48.3639829486343;0.000292;0;0.00103;-4E-06;0.001034;0
00.762.723/0001-28;2021-04-01;1;2021-04-30;4417;;;;;;;;;;;;;;;;125630283.89;125456495.93;2594279;48.3589066287782;0.000292;0;0.000929;-0.000105;0.001034;0
00.762.723/0001-28;2021-05-01;1;2021-05-31;4196;;;;;;;;;;;;;;;;125681928.92;125506257.05;2594279;48.378087726879;0.000247;0;0.001431;0.000397;0.001034;0
00.762.723/0001-28;2021-06-01;1;2021-06-30;4121;4108;8;;;1;;;3;;;;1;;;;125687118.66;125384663.85;2594279;48.3312179800245;0.000283;0;0.001098;-0.000969;0.002067;0
00.762.723/0001-28;2021-07-01;1;2021-07-31;4099;;;;;;;;;;;;;;;;124499659.24;124456805.48;2594279;47.9735623963344;0.000285;0;-0.0074;-0.0074;0;0
00.762.723/0001-28;2021-08-01;1;2221-08-31;4006;;;;;;;;;;;;;;;;124537559.09;123766794.62;2594279;47.7075883588465;0.000286483705979975;0;-0.005544;-0.005544;0;0
00.868.235/0001-08;2021-01-01;1;2021-01-31;7;;;;;;;;;;;;;;;;101258293.84;100713718.13;54316;1854.21824379557;0.000384;0;0.004014;0.000238;0.003776;0
00.868.235/0001-08;2021-02-01;1;2021-02-28;7;;;;;;;;;;;;;;;;101280148.4;101113684.13;54316;1861.58193037042;0.000382;0;0.003971;0.003971;0;0
00.868.235/0001-08;2021-03-01;1;2021-03-31;7;3;;;;;;;;2;;;1;1;;;100805706.07;100713811.58;54316;1854.21996428308;0.000384;0;-0.003955;-0.003955;0;0
00.868.235/0001-08;2021-04-01;1;2021-04-30;7;;;;;;;;;;;;;;;;100936925.19;100596362.96;54316;1852.05764341999;0.000384;0;0.001423;-0.001166;0.002589;0
00.868.235/0001-08;2021-05-01;1;2021-05-31;7;;;;;;;;;;;;;;;;101097356.36;100922127.64;54316;1858.05522571618;0.000383;0;0.004183;0.003238;0.000945;0
00.868.235/0001-08;2021-06-01;1;2021-06-30;7;3;;;;;;;;2;;;1;1;;;101456400.14;100986885.92;54316;1859.24747625009;0.000383;0;0.004356;0.000642;0.003714;0
00.868.235/0001-08;2021-07-01;1;2021-07-31;7;;;;;;;;;;;;;;;;102016651.4;101490924.47;54316;1868.52721978791;0.000381;0;0.014285;0.004991;0.009294;0
00.868.235/0001-08;2021-08-01;1;2021-08-31;7;;;;;;;;;;;;;;;;102331166.27;101795762.52;54316;1874.1395264747;0.00038;0;0.007285;0.003004;0.004281;0
01.201.140/0001-90;2021-01-01;1;2021-01-31;20525;;;;;;;;;;;;;;;;1084738900.33;1075575235.89;12203833;88.1342145447254;8.3E-05;0;0.005228;-0.001119;0.006347;0
01.201.140/0001-90;2021-02-01;1;2021-02-28;20400;;;;;;;;;;;;;;;;1082623263.89;1075455180.07;12203833;88.1243769945066;8.3E-05;0;0.004427;-0.000112;0.004539;0
01.201.140/0001-90;2021-03-01;1;2021-03-31;20012;19976;25;;1;1;3;;;;;;3;3;;;1080564992.69;1077720548.83;12203833;88.3100046378871;8.3E-05;0;0.002673;0.002106;0.000567;0
01.201.140/0001-90;2021-04-01;1;2021-04-30;19528;;;;;;;;;;;;;;;;1080168941.43;1078043159.45;12203833;88.3364398259137;0.00082;0;0.000299;0.000299;0;0
01.201.140/0001-90;2021-05-01;1;2021-05-31;19203;;;;;;;;;;;;;;;;1084378374.49;1077525130.29;12203833;88.293991755705;8.3E-05;0;0.003969;-0.000481;0.00445;0
01.201.140/0001-90;2021-06-01;1;2021-06-30;19167;19131;26;;1;1;2;;;;;;3;3;;;1088349010.26;1080029904.46;12203833;88.4992366299998;8.3E-05;0;0.008101;0.002325;0.005776;0
01.201.140/0001-90;2021-07-01;1;2021-07-31;19408;;;;;;;;;;;;;;;;1087848078.69;1079090617.24;12203833;88.4222700556456;8.3E-05;0;0.005119;-0.00087;0.005989;0
01.201.140/0001-90;2021-08-01;1;2021-08-31;19446;;;;;;;;;;;;;;;;1088117006.32;1080690326.04;12203833;88.5533525442375;8.3E-05;0;0.005362;-0.00087;0.006232;0
01.235.622/0001-61;2021-01-01;1;2021-01-29;57;42;;;;;;;;;;;;2;13;;3035604184.91;2308536175.78;876521;2633.74885003326;0.000829;0.008706;0.0052;0.0052;0;0
01.235.622/0001-61;2021-02-01;1;2021-02-26;57;42;;;;;;;;;;;;2;13;;2981449720.03;2325448943.19;876521;2653.04418626593;0.000827;0.009478;0.0073;0.0073;0;0
01.235.622/0001-61;2021-03-01;2;2021-03-31;57;42;;;;;;;;;;;;2;13;;3001901768.46;2334697439.08;876521;2663.59555456173;0.00083;0.001681;0.004;0.004;0;0
01.235.622/0001-61;2021-04-01;3;2021-04-30;10;;;;;;;;;;;;;;;;3014967769.96;2354196427.98;876521;2685.84144359348;3.14821351010179E-05;;0.008352;0.008352;;
01.235.622/0001-61;2021-05-01;1;2021-05-31;10;;;;;;;;;;;;;;;;3028709722.17;2381264954.43;876521;2716.72322104091;0.000823860560476606;;0.011498;0.011498;;
01.235.622/0001-61;2021-06-01;3;2021-06-30;57;42;;;;;;;;;;;;2;13;;3041751146.27;2337001531.5;876521;2666.22423364643;0.000849116756344753;;-0.018588;-0.018588;;
01.235.622/0001-61;2021-07-01;1;2021-07-30;57;;;;;;;;;;;;;;;;3054003019.59;2354447050.22;876521;2686.12737198538;3.46618285564648E-05;;0.007465;0.007465;;
01.235.622/0001-61;2021-08-01;2;2021-08-31;57;;;;;;;;;;;;;;;;3038218927.9;2471722518.36;912380;2709.09327074245;3.32637621696114E-05;;0.00855;0.00855;;
01.356.517/0001-80;2021-01-01;1;2020-12-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247740346.89;148572741.8;56701;2620.28433008236;0.0004;0;0.036228;0.036228;;
01.356.517/0001-80;2021-02-01;1;2020-12-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249205958.76;150523543.24;56701;2654.68939242694;0.0004;0;0.01313;0.01313;;
